N;Threads;Repeticao;Tempo_Ingenua;Tempo_Arrumada
100000;1;1;0.000267;0.000220
100000;1;2;0.000217;0.000722
100000;1;3;0.000238;0.000310
100000;1;4;0.000226;0.000182
100000;1;5;0.000288;0.000274
100000;2;1;0.010409;0.007999
100000;2;2;0.004363;0.000105
100000;2;3;0.014282;0.004080
100000;2;4;0.015161;0.004104
100000;2;5;0.002419;0.000105
100000;4;1;0.000545;0.000277
100000;4;2;0.002221;0.000256
100000;4;3;0.001363;0.000296
100000;4;4;0.006499;0.000317
100000;4;5;0.000564;0.000341
100000;8;1;0.000969;0.000850
100000;8;2;0.004189;0.000439
100000;8;3;0.000969;0.000460
100000;8;4;0.000930;0.000334
100000;8;5;0.004593;0.000453
100000;16;1;0.004966;0.000992
100000;16;2;0.004916;0.000652
100000;16;3;0.001671;0.000491
100000;16;4;0.001635;0.000560
100000;16;5;0.003590;0.000605
500000;1;1;0.001458;0.001391
500000;1;2;0.001567;0.001282
500000;1;3;0.001278;0.001171
500000;1;4;0.001360;0.001195
500000;1;5;0.001365;0.001323
500000;2;1;0.010420;0.005145
500000;2;2;0.006765;0.009010
500000;2;3;0.010168;0.008013
500000;2;4;0.010095;0.008985
500000;2;5;0.011524;0.005973
500000;4;1;0.001782;0.001247
500000;4;2;0.002772;0.001333
500000;4;3;0.001734;0.001587
500000;4;4;0.003011;0.001229
500000;4;5;0.001654;0.001530
500000;8;1;0.002432;0.001297
500000;8;2;0.005532;0.001441
500000;8;3;0.004833;0.001559
500000;8;4;0.002059;0.001408
500000;8;5;0.002120;0.003297
500000;16;1;0.003388;0.001469
500000;16;2;0.002806;0.001562
500000;16;3;0.002804;0.001465
500000;16;4;0.002726;0.001831
500000;16;5;0.004171;0.001811
1000000;1;1;0.002467;0.002473
1000000;1;2;0.002812;0.002670
1000000;1;3;0.002560;0.002454
1000000;1;4;0.002642;0.002427
1000000;1;5;0.002543;0.002321
1000000;2;1;0.010235;0.008013
1000000;2;2;0.005799;0.003309
1000000;2;3;0.011615;0.004372
1000000;2;4;0.014206;0.007995
1000000;2;5;0.004922;0.003075
1000000;4;1;0.003137;0.002926
1000000;4;2;0.002830;0.002470
1000000;4;3;0.003498;0.002449
1000000;4;4;0.003259;0.002644
1000000;4;5;0.003042;0.002465
1000000;8;1;0.002210;0.001592
1000000;8;2;0.002245;0.001854
1000000;8;3;0.002214;0.001620
1000000;8;4;0.002638;0.001846
1000000;8;5;0.002329;0.001761
1000000;16;1;0.002700;0.001651
1000000;16;2;0.003594;0.001976
1000000;16;3;0.002416;0.001769
1000000;16;4;0.004701;0.003055
1000000;16;5;0.002430;0.001817
